code,favela_name,favela_address,upp,controlling_faction_2019,type,controlling_faction_2013,detail_controlling_faction_2013,controlling_faction_2009,controlling_faction_2008,controlling_faction_2007,controlling_faction_2006,controlling_faction_2005,social_progress_index
915,CAMINHO DA CACHOEIRA,ESTR RODRIGUES CALDAS - JACAREPAGUÁ,2,MILICIA,,MILICIA,UNARMED,MILICIA,MILICIA,MILICIA,MILICIA,MILICIA,0.312
916,CAMINHO DO FINCAO,ESTR RODRIGUES CALDAS - JACAREPAGUÁ,2,MILICIA,,MILICIA,ARMED,MILICIA,MILICIA,MILICIA,MILICIA,MILICIA,0.392
917,COMUNIDADE CAMPO DA PAZ,RUA IPADU - TAQUARA,2,MILICIA,,MILICIA,ARMED,MILICIA,MILICIA,MILICIA,NEUTRAL,NEUTRAL,0.538
918,AVENIDA SAMPAIO CORREA,ETR RODRIGUES CALDAS JACAREPAGUÁ - COMPLEXO COLONIA JULIANO MOREIRA,2,MILICIA,,MILICIA,UNARMED,MILICIA,MILICIA,MILICIA,MILICIA,MILICIA,0.56
919,VILA DA CONQUISTA,AV COMANDANTE GUARANYS - JACAREPAGUÁ,2,UPP,,UPP,WITH DRUG TRAFFICKING,CV,CV,CV,CV,CV,0.325
920,VIA O-CONJ. VILA NOVA CRUZADA,VIA O -  CDD - COMPLEXO VIA O,1,UPP,,UPP,WITH DRUG TRAFFICKING,CV,CV,CV,CV,CV,0.427
921,SANTA MARIA II,ESTR RIO PEQUENO - JACAREPAGUA,2,MILICIA,,MILICIA,ARMED,MILICIA,MILICIA,MILICIA,MILICIA,MILICIA,0.291
922,ESTRADA DO PAU DA FOME,ESTR PAU DA FOME - JACAREPAGUÁ,2,MILICIA,,MILICIA,ARMED,MILICIA,MILICIA,MILICIA,NEUTRAL,NEUTRAL,0.271
923,CAMINHO DOS CALHARINS,ESTRADA PAU DA FOME - JACAREPAGUÁ,2,MILICIA,,MILICIA,ARMED,MILICIA,MILICIA,MILICIA,NEUTRAL,NEUTRAL,0.435
924,CAMINHO NOVO DA REPRESA,ESTR RODRIGUES CALDAS - JACAREPAGUÁ,2,MILICIA,,MILICIA,ARMED,MILICIA,MILICIA,MILICIA,MILICIA,MILICIA,0.492
